# Copyright (C) 2024  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 23.1std.1 Build 993 05/14/2024 SC Lite Edition
# File: D:\fpga\first_test\pins_top.csv
# Generated on: Mon Feb 10 22:25:50 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
DDR_ADDR[13],Output,PIN_AK8,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_ADDR[12],Output,PIN_AK7,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_ADDR[11],Output,PIN_AK9,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_ADDR[10],Output,PIN_AJ9,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_ADDR[9],Output,PIN_AH14,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_ADDR[8],Output,PIN_AH13,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_ADDR[7],Output,PIN_AK13,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_ADDR[6],Output,PIN_AK12,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_ADDR[5],Output,PIN_AH15,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_ADDR[4],Output,PIN_AG15,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_ADDR[3],Output,PIN_AJ12,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_ADDR[2],Output,PIN_AH12,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_ADDR[1],Output,PIN_AK14,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_ADDR[0],Output,PIN_AJ14,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_BANK[2],Output,PIN_AK11,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_BANK[1],Output,PIN_AJ11,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_BANK[0],Output,PIN_AH10,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_CAS,Output,PIN_AH7,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_CKE,Output,PIN_AJ21,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_CLK_n,Output,PIN_AA15,3B,B3B_N0,Differential 1.5-V SSTL Class I,,,,DDR_CLK_p,,,,,,,,,
DDR_CLK_p,Output,PIN_AA14,3B,B3B_N0,Differential 1.5-V SSTL Class I,,,,DDR_CLK_n,,,,,,,,,
DDR_CS,Output,PIN_AB15,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[31],Bidir,PIN_AK27,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[30],Bidir,PIN_AG25,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[29],Bidir,PIN_AE22,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[28],Bidir,PIN_AE23,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[27],Bidir,PIN_AK26,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[26],Bidir,PIN_AJ24,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[25],Bidir,PIN_AF23,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[24],Bidir,PIN_AF24,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[23],Bidir,PIN_AK24,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[22],Bidir,PIN_AH23,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[21],Bidir,PIN_AF20,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[20],Bidir,PIN_AF21,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[19],Bidir,PIN_AK22,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[18],Bidir,PIN_AG22,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[17],Bidir,PIN_AE18,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[16],Bidir,PIN_AE19,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[15],Bidir,PIN_AH24,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[14],Bidir,PIN_AJ20,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[13],Bidir,PIN_AF19,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[12],Bidir,PIN_AG20,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[11],Bidir,PIN_AK19,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[10],Bidir,PIN_AG18,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[9],Bidir,PIN_AJ17,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[8],Bidir,PIN_AK18,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[7],Bidir,PIN_AH18,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[6],Bidir,PIN_AJ16,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[5],Bidir,PIN_AG21,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[4],Bidir,PIN_AH20,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[3],Bidir,PIN_AF16,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[2],Bidir,PIN_AG16,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[1],Bidir,PIN_AE17,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DATA[0],Bidir,PIN_AF18,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DM[3],Output,PIN_AJ27,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DM[2],Output,PIN_AK23,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DM[1],Output,PIN_AG23,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DM[0],Output,PIN_AH17,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_DQS_n[3],Output,PIN_AD19,4A,B4A_N0,Differential 1.5-V SSTL Class I,,,,DDR_DQS_p[3],,,,,,,,,
DDR_DQS_n[2],Output,PIN_AA18,4A,B4A_N0,Differential 1.5-V SSTL Class I,,,,DDR_DQS_p[2],,,,,,,,,
DDR_DQS_n[1],Output,PIN_W17,4A,B4A_N0,Differential 1.5-V SSTL Class I,,,,DDR_DQS_p[1],,,,,,,,,
DDR_DQS_n[0],Output,PIN_W16,4A,B4A_N0,Differential 1.5-V SSTL Class I,,,,DDR_DQS_p[0],,,,,,,,,
DDR_DQS_p[3],Output,PIN_AC20,4A,B4A_N0,Differential 1.5-V SSTL Class I,,,,DDR_DQS_n[3],,,,,,,,,
DDR_DQS_p[2],Output,PIN_Y17,4A,B4A_N0,Differential 1.5-V SSTL Class I,,,,DDR_DQS_n[2],,,,,,,,,
DDR_DQS_p[1],Output,PIN_V17,4A,B4A_N0,Differential 1.5-V SSTL Class I,,,,DDR_DQS_n[1],,,,,,,,,
DDR_DQS_p[0],Output,PIN_V16,4A,B4A_N0,Differential 1.5-V SSTL Class I,,,,DDR_DQS_n[0],,,,,,,,,
DDR_ODT,Output,PIN_AE16,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_RAS,Output,PIN_AH8,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_RESET,Output,PIN_AK21,4A,B4A_N0,SSTL-15 Class I,,,,,,,,,,,,,
DDR_RZQ,Input,PIN_AG17,4A,B4A_N0,1.5 V,,,,,,,,,,,,,
DDR_WE,Output,PIN_AJ6,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
HPS_USER_KEYS[3],Input,,,,1.2 V,,,,,,,,,,,,,
HPS_USER_KEYS[2],Input,,,,,,,,,,,,,,,,,
HPS_USER_KEYS[1],Input,,,,,,,,,,,,,,,,,
HPS_USER_KEYS[0],Input,,,,,,,,,,,,,,,,,
HPS_USER_LEDS[3],Output,,,,,,,,,,,,,,,,,
HPS_USER_LEDS[2],Output,,,,,,,,,,,,,,,,,
HPS_USER_LEDS[1],Output,,,,,,,,,,,,,,,,,
HPS_USER_LEDS[0],Output,,,,,,,,,,,,,,,,,
HPS_USER_SWITCHS[3],Input,,,,,,,,,,,,,,,,,
HPS_USER_SWITCHS[2],Input,,,,,,,,,,,,,,,,,
HPS_USER_SWITCHS[1],Input,,,,,,,,,,,,,,,,,
HPS_USER_SWITCHS[0],Input,,,,,,,,,,,,,,,,,
HSMC_CLK_IN0,Input,PIN_J14,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_CLK_OUT0,Output,PIN_AD29,5B,B5B_N0,,,,,,,,,,,,,,
HSMC_CLKIN_n1,Bidir,PIN_AB27,5B,B5B_N0,,,,,,,,,,,,,,
HSMC_CLKIN_n2,Bidir,PIN_G15,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_CLKIN_p1,Bidir,PIN_AA26,5B,B5B_N0,,,,,,,,,,,,,,
HSMC_CLKIN_p2,Bidir,PIN_H15,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_CLKOUT_n1,Bidir,PIN_E6,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_CLKOUT_n2,Bidir,PIN_A10,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_CLKOUT_p1,Bidir,PIN_E7,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_CLKOUT_p2,Bidir,PIN_A11,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_D[3],Bidir,PIN_H12,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_D[2],Bidir,PIN_C9,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_D[1],Bidir,PIN_H13,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_D[0],Bidir,PIN_C10,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_GXB_RX_n[7],Input,PIN_J1,B2L,,1.5-V PCML,,,,HSMC_GXB_RX_p[7],,,,,,,,,
HSMC_GXB_RX_n[6],Input,PIN_N1,B2L,,1.5-V PCML,,,,HSMC_GXB_RX_p[6],,,,,,,,,
HSMC_GXB_RX_n[5],Input,PIN_R1,B1L,,1.5-V PCML,,,,HSMC_GXB_RX_p[5],,,,,,,,,
HSMC_GXB_RX_n[4],Input,PIN_U1,B1L,,1.5-V PCML,,,,HSMC_GXB_RX_p[4],,,,,,,,,
HSMC_GXB_RX_n[3],Input,PIN_W1,B1L,,1.5-V PCML,,,,HSMC_GXB_RX_p[3],,,,,,,,,
HSMC_GXB_RX_n[2],Input,PIN_AA1,B0L,,1.5-V PCML,,,,HSMC_GXB_RX_p[2],,,,,,,,,
HSMC_GXB_RX_n[1],Input,PIN_AC1,B0L,,1.5-V PCML,,,,HSMC_GXB_RX_p[1],,,,,,,,,
HSMC_GXB_RX_n[0],Input,PIN_AE1,B0L,,1.5-V PCML,,,,HSMC_GXB_RX_p[0],,,,,,,,,
HSMC_GXB_RX_p[7],Input,PIN_J2,B2L,,1.5-V PCML,,,,HSMC_GXB_RX_n[7],,,,,,,,,
HSMC_GXB_RX_p[6],Input,PIN_N2,B2L,,1.5-V PCML,,,,HSMC_GXB_RX_n[6],,,,,,,,,
HSMC_GXB_RX_p[5],Input,PIN_R2,B1L,,1.5-V PCML,,,,HSMC_GXB_RX_n[5],,,,,,,,,
HSMC_GXB_RX_p[4],Input,PIN_U2,B1L,,1.5-V PCML,,,,HSMC_GXB_RX_n[4],,,,,,,,,
HSMC_GXB_RX_p[3],Input,PIN_W2,B1L,,1.5-V PCML,,,,HSMC_GXB_RX_n[3],,,,,,,,,
HSMC_GXB_RX_p[2],Input,PIN_AA2,B0L,,1.5-V PCML,,,,HSMC_GXB_RX_n[2],,,,,,,,,
HSMC_GXB_RX_p[1],Input,PIN_AC2,B0L,,1.5-V PCML,,,,HSMC_GXB_RX_n[1],,,,,,,,,
HSMC_GXB_RX_p[0],Input,PIN_AE2,B0L,,1.5-V PCML,,,,HSMC_GXB_RX_n[0],,,,,,,,,
HSMC_GXB_TX_n[7],Input,PIN_H3,B2L,,1.5-V PCML,,,,HSMC_GXB_TX_p[7],,,,,,,,,
HSMC_GXB_TX_n[6],Input,PIN_M3,B2L,,1.5-V PCML,,,,HSMC_GXB_TX_p[6],,,,,,,,,
HSMC_GXB_TX_n[5],Input,PIN_P3,B1L,,1.5-V PCML,,,,HSMC_GXB_TX_p[5],,,,,,,,,
HSMC_GXB_TX_n[4],Input,PIN_T3,B1L,,1.5-V PCML,,,,HSMC_GXB_TX_p[4],,,,,,,,,
HSMC_GXB_TX_n[3],Input,PIN_V3,B1L,,1.5-V PCML,,,,HSMC_GXB_TX_p[3],,,,,,,,,
HSMC_GXB_TX_n[2],Input,PIN_Y3,B0L,,1.5-V PCML,,,,HSMC_GXB_TX_p[2],,,,,,,,,
HSMC_GXB_TX_n[1],Input,PIN_AB3,B0L,,1.5-V PCML,,,,HSMC_GXB_TX_p[1],,,,,,,,,
HSMC_GXB_TX_n[0],Input,PIN_AD3,B0L,,1.5-V PCML,,,,HSMC_GXB_TX_p[0],,,,,,,,,
HSMC_GXB_TX_p[7],Input,PIN_H4,B2L,,1.5-V PCML,,,,HSMC_GXB_TX_n[7],,,,,,,,,
HSMC_GXB_TX_p[6],Input,PIN_M4,B2L,,1.5-V PCML,,,,HSMC_GXB_TX_n[6],,,,,,,,,
HSMC_GXB_TX_p[5],Input,PIN_P4,B1L,,1.5-V PCML,,,,HSMC_GXB_TX_n[5],,,,,,,,,
HSMC_GXB_TX_p[4],Input,PIN_T4,B1L,,1.5-V PCML,,,,HSMC_GXB_TX_n[4],,,,,,,,,
HSMC_GXB_TX_p[3],Input,PIN_V4,B1L,,1.5-V PCML,,,,HSMC_GXB_TX_n[3],,,,,,,,,
HSMC_GXB_TX_p[2],Input,PIN_Y4,B0L,,1.5-V PCML,,,,HSMC_GXB_TX_n[2],,,,,,,,,
HSMC_GXB_TX_p[1],Input,PIN_AB4,B0L,,1.5-V PCML,,,,HSMC_GXB_TX_n[1],,,,,,,,,
HSMC_GXB_TX_p[0],Input,PIN_AD4,B0L,,1.5-V PCML,,,,HSMC_GXB_TX_n[0],,,,,,,,,
HSMC_RX_n[16],Input,PIN_F14,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[15],Input,PIN_G13,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[14],Input,PIN_E13,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[13],Input,PIN_B12,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[12],Input,PIN_D10,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[11],Input,PIN_D12,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[10],Input,PIN_D9,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[9],Input,PIN_B5,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[8],Input,PIN_E11,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[7],Input,PIN_F8,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[6],Input,PIN_G8,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[5],Input,PIN_H7,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[4],Input,PIN_K8,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[3],Input,PIN_J9,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[2],Input,PIN_F10,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[1],Input,PIN_J12,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_n[0],Input,PIN_G11,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[16],Input,PIN_F15,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[15],Input,PIN_H14,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[14],Input,PIN_F13,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[13],Input,PIN_C13,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[12],Input,PIN_D11,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[11],Input,PIN_E12,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[10],Input,PIN_E9,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[9],Input,PIN_B6,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[8],Input,PIN_F11,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[7],Input,PIN_F9,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[6],Input,PIN_H8,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[5],Input,PIN_J7,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[4],Input,PIN_K7,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[3],Input,PIN_J10,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[2],Input,PIN_G10,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[1],Input,PIN_K12,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_RX_p[0],Input,PIN_G12,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_SCL,Output,PIN_AA28,5B,B5B_N0,,,,,,,,,,,,,,
HSMC_SDA,Output,PIN_AE29,5B,B5B_N0,,,,,,,,,,,,,,
HSMC_TX_n[16],Input,PIN_A13,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[15],Input,PIN_B11,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[14],Input,PIN_B8,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[13],Input,PIN_B7,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[12],Input,PIN_A5,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[11],Input,PIN_A3,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[10],Input,PIN_B1,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[9],Input,PIN_C2,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[8],Input,PIN_D1,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[7],Input,PIN_B3,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[6],Input,PIN_D4,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[5],Input,PIN_E2,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[4],Input,PIN_C4,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[3],Input,PIN_C5,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[2],Input,PIN_F6,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[1],Input,PIN_D7,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_n[0],Input,PIN_A8,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[16],Input,PIN_B13,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[15],Input,PIN_C12,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[14],Input,PIN_C8,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[13],Input,PIN_C7,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[12],Input,PIN_A6,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[11],Input,PIN_A4,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[10],Input,PIN_B2,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[9],Input,PIN_D2,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[8],Input,PIN_E1,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[7],Input,PIN_C3,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[6],Input,PIN_E4,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[5],Input,PIN_E3,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[4],Input,PIN_D5,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[3],Input,PIN_D6,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[2],Input,PIN_G7,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[1],Input,PIN_E8,8A,B8A_N0,,,,,,,,,,,,,,
HSMC_TX_p[0],Input,PIN_A9,8A,B8A_N0,,,,,,,,,,,,,,
IR_DATA,Input,PIN_AH2,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TEMP_CS,Output,PIN_AF8,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TEMP_DIN,Input,PIN_AG7,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TEMP_DOUT,Output,PIN_AG1,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TEMP_SCLK,Output,PIN_AF9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
USER_KEYS[3],Input,PIN_AD11,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
USER_KEYS[2],Input,PIN_AD9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
USER_KEYS[1],Input,PIN_AE12,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
USER_KEYS[0],Input,PIN_AE9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
USER_LEDS[3],Output,PIN_AD7,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
USER_LEDS[2],Output,PIN_AE11,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
USER_LEDS[1],Output,PIN_AD10,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
USER_LEDS[0],Output,PIN_AF10,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
USER_SWITCHS[3],Input,PIN_AC29,5B,B5B_N0,,,,,,,,,,,,,,
USER_SWITCHS[2],Input,PIN_AC28,5B,B5B_N0,,,,,,,,,,,,,,
USER_SWITCHS[1],Input,PIN_V25,5B,B5B_N0,,,,,,,,,,,,,,
USER_SWITCHS[0],Input,PIN_W25,5B,B5B_N0,,,,,,,,,,,,,,
VIDEO_BLANK,Output,PIN_AH3,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VIDEO_BLUE[7],Output,PIN_AF29,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VIDEO_BLUE[6],Output,PIN_W24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VIDEO_BLUE[5],Output,PIN_V23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VIDEO_BLUE[4],Output,PIN_AF28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VIDEO_BLUE[3],Output,PIN_AG28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VIDEO_BLUE[2],Output,PIN_Y24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VIDEO_BLUE[1],Output,PIN_Y23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VIDEO_BLUE[0],Output,PIN_AE28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VIDEO_CLK,Output,PIN_W20,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VIDEO_GREEN[7],Output,PIN_AE27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
